asset,kind,source,output,sha256,provenance
all_india_congress,event,tools/art_sources/v4_events/sheet_12_return_and_v3_priority.png#panel=2,gfx/events_pics/all_india_congress.bmp,bb2c894ed21a470884ac51802a58228fdf08ce2158d399547783a7c56eddb85c,generated alternate-history reconstruction; not an archival photograph
all_india_party,event,tools/art_sources/v4_events/sheet_13_legacy_politics.png#panel=1,gfx/events_pics/all_india_party.bmp,1b6e8f2443150751db9662803e8fd0f012ca19bbb660f72a95854b787b88ed0a,generated alternate-history reconstruction; not an archival photograph
aubm_v4_administrative_state,event,tools/art_sources/v4_events/sheet_03_reviews.png#panel=3,gfx/events_pics/aubm_v4_administrative_state.bmp,79f6d612d182ceed341db99b42539416e72cc76de78691957faffd350618e4d0,generated alternate-history reconstruction; not an archival photograph
aubm_v4_airfield_security,event,tools/art_sources/v4_events/sheet_08_air_security_and_exercises.png#panel=1,gfx/events_pics/aubm_v4_airfield_security.bmp,1d1cb467ed98646cfdcbcdfd7ba32c0b8831b38dca08505bc04d65bc2380cfac,generated alternate-history reconstruction; not an archival photograph
aubm_v4_army_commands,event,tools/art_sources/v4_events/sheet_07_expertise_and_command.png#panel=4,gfx/events_pics/aubm_v4_army_commands.bmp,e2d81b52871799625e3d303b720d1cad994f47f575edb748335c51fb3eaa8b0f,generated alternate-history reconstruction; not an archival photograph
aubm_v4_asian_strategy_menu,event,tools/art_sources/v4_events/sheet_18_asian_strategy.png#panel=1,gfx/events_pics/aubm_v4_asian_strategy_menu.bmp,3343af494faf5e348550658b6d798aa3091bd49d83868585791b574b54caf6bf,generated alternate-history reconstruction; not an archival photograph
aubm_v4_bangkok_chooses_war,event,tools/art_sources/v4_events/sheet_15_china_and_burma.png#panel=3,gfx/events_pics/aubm_v4_bangkok_chooses_war.bmp,0dcdfb0a22603740e4c24e7ae43465ed3da85a8a13194df323d76cf7ea5b0a62,generated alternate-history reconstruction; not an archival photograph
aubm_v4_barbarossa_reaction,event,tools/art_sources/v4_events/sheet_16_widening_war.png#panel=2,gfx/events_pics/aubm_v4_barbarossa_reaction.bmp,ce8aeb1b02e67aa832862bdfc36363cae6c3888ff6a5e6c38885fecdf2a9e098,generated alternate-history reconstruction; not an archival photograph
aubm_v4_bengal_jute,event,tools/art_sources/v4_events/sheet_02_integration.png#panel=3,gfx/events_pics/aubm_v4_bengal_jute.bmp,05597b1f7ecdfba95029623bead467fb005266f42091c4539e950dd6816d28fe,generated alternate-history reconstruction; not an archival photograph
aubm_v4_budget_conference,event,tools/art_sources/v4_events/sheet_13_campaign_finance.png#panel=1,gfx/events_pics/aubm_v4_budget_conference.bmp,bc61fc9bedce5c3b447f793de4920cf9fd7029c14887170993cfb9497ab3ea8e,generated alternate-history reconstruction; not an archival photograph
aubm_v4_burma_road_refugees,event,tools/art_sources/v4_events/sheet_15_china_and_burma.png#panel=2,gfx/events_pics/aubm_v4_burma_road_refugees.bmp,b1a59fb615fea723ac88e10644b0bb8dcc7cb8c926f2b2b914cff768eba273af,generated alternate-history reconstruction; not an archival photograph
aubm_v4_capacity_without_settlement,event,tools/art_sources/v4_events/sheet_05_federal_development.png#panel=3,gfx/events_pics/aubm_v4_capacity_without_settlement.bmp,34cf11f8daee9f17d1e28f413d3d2fe29ebac52dcc957429896ed37cf8be5587,generated alternate-history reconstruction; not an archival photograph
aubm_v4_ceylon_council,event,tools/art_sources/v4_events/sheet_01_foundation.png#panel=3,gfx/events_pics/aubm_v4_ceylon_council.bmp,097550d0a7dd2627ef86da7772a2f748827b3c575caebd00e161b4c2094d5f8a,generated alternate-history reconstruction; not an archival photograph
