kind,id,name,game_assignment,historical_basis,alt_history_embellishment,source_url
minister,251001,Rajendra Prasad,Head of State | Indian Constituent President | SD,"Congress president, constitutional leader and later first President of India.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://presidentofindia.nic.in/dr-rajendra-prasad-served-profile
minister,251002,Jawaharlal Nehru,Head of Government | Nehruvian National Planner | SD,"Congress leader associated with socialism, scientific modernity, planning and anti-colonial internationalism.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://nehruportal.nic.in/
minister,251003,Jawaharlal Nehru,Foreign Minister | Nehruvian Internationalist | SD,"Congress leader associated with socialism, scientific modernity, planning and anti-colonial internationalism.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://nehruportal.nic.in/
minister,251004,Vallabhbhai Patel,Minister of Armament | Patelian National Organizer | SD,"Congress organizer, administrator and the historical architect of princely-state integration.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1872132
minister,251005,B. R. Ambedkar,Minister of Security | Ambedkarite Social Justice | SD,"Jurist, labour advocate and principal constitutional champion of equal citizenship and social justice.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.mea.gov.in/Images/attach/amb/Volume_01.pdf
minister,251006,Rafi Ahmed Kidwai,Head of Military Intelligence | Civic Intelligence Coordinator | SD,Congress organizer and practical administrator with strong provincial and mass-political networks.,Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://amritmahotsav.nic.in/unsung-heroes-detail.htm?16245
minister,251007,K. M. Cariappa,Chief of Staff | Professional General Staff | SD,"Professional Indian Army officer, staff graduate and later the first Indian Commander-in-Chief.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2213933&lang=1&reg=1
minister,251008,K. M. Cariappa,Chief of Army | Indian Army Reformer | SD,"Professional Indian Army officer, staff graduate and later the first Indian Commander-in-Chief.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2213933&lang=1&reg=1
minister,251009,Ram Dass Katari,Chief of Navy | Indian Ocean Fleet Architect | SD,Early Indian naval officer and later the first Indian Chief of the Naval Staff.,Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.indiannavy.nic.in/content/admiral-ram-dass-katari
minister,251010,Subroto Mukerjee,Chief of Air Force | Indian Air Institution Builder | SD,"Foundational Indian air officer who helped build training, administration and an independent air institution.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2217026&lang=1&reg=6
minister,251011,Rajendra Prasad,Head of State | Indian Constituent President | SL,"Congress president, constitutional leader and later first President of India.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://presidentofindia.nic.in/dr-rajendra-prasad-served-profile
minister,251012,Vallabhbhai Patel,Head of Government | Patelian Integrator | SL,"Congress organizer, administrator and the historical architect of princely-state integration.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1872132
minister,251013,C. Rajagopalachari,Foreign Minister | Constitutional Conciliator | SL,"Lawyer, constitutionalist, Congress statesman and advocate of negotiated political settlements.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.britannica.com/biography/Chakravarti-Rajagopalachari
minister,251014,M. Visvesvaraya,Minister of Armament | Development Engineer | SL,"Engineer, Mysore administrator and influential advocate of planned industrial development.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2055289
minister,251015,B. R. Ambedkar,Minister of Security | Ambedkarite Social Justice | SL,"Jurist, labour advocate and principal constitutional champion of equal citizenship and social justice.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.mea.gov.in/Images/attach/amb/Volume_01.pdf
minister,251016,B. N. Rau,Head of Military Intelligence | Constitutional Intelligence Analyst | SL,"Senior civil servant, comparative constitutional scholar and later constitutional adviser.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.constitutionofindia.net/members/benegal-narsing-rau/
minister,251017,K. M. Cariappa,Chief of Staff | Professional General Staff | SL,"Professional Indian Army officer, staff graduate and later the first Indian Commander-in-Chief.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2213933&lang=1&reg=1
minister,251018,K. M. Cariappa,Chief of Army | Indian Army Reformer | SL,"Professional Indian Army officer, staff graduate and later the first Indian Commander-in-Chief.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2213933&lang=1&reg=1
minister,251019,Ram Dass Katari,Chief of Navy | Indian Ocean Fleet Architect | SL,Early Indian naval officer and later the first Indian Chief of the Naval Staff.,Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.indiannavy.nic.in/content/admiral-ram-dass-katari
minister,251020,Subroto Mukerjee,Chief of Air Force | Indian Air Institution Builder | SL,"Foundational Indian air officer who helped build training, administration and an independent air institution.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2217026&lang=1&reg=6
minister,251021,Jawaharlal Nehru,Head of State | Republican Modernizer | LWR,"Congress leader associated with socialism, scientific modernity, planning and anti-colonial internationalism.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://nehruportal.nic.in/
minister,251022,Subhas Chandra Bose,Head of Government | National Mobilization Director | LWR,"Militant anti-colonial leader, organizer of the Indian National Army and advocate of total national mobilization.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://amritmahotsav.nic.in/subhas-chandra-bose.htm
minister,251023,V. K. Krishna Menon,Foreign Minister | Anti-Colonial Diplomat | LWR,Anti-colonial publicist and diplomat associated with assertive international advocacy and non-alignment.,Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.britannica.com/biography/V-K-Krishna-Menon
minister,251024,Meghnad Saha,Minister of Armament | Scientific Planning Director | LWR,"Astrophysicist, institution builder and advocate of applying science and quantitative planning to national development.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://insaindia.res.in/old_website/BM/BM1_6601.pdf
minister,251025,B. R. Ambedkar,Minister of Security | Ambedkarite Social Justice | LWR,"Jurist, labour advocate and principal constitutional champion of equal citizenship and social justice.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.mea.gov.in/Images/attach/amb/Volume_01.pdf
minister,251026,Subhas Chandra Bose,Head of Military Intelligence | Revolutionary Intelligence Network | LWR,"Militant anti-colonial leader, organizer of the Indian National Army and advocate of total national mobilization.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://amritmahotsav.nic.in/subhas-chandra-bose.htm
minister,251027,Subhas Chandra Bose,Chief of Staff | Mobilization General Staff | LWR,"Militant anti-colonial leader, organizer of the Indian National Army and advocate of total national mobilization.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://amritmahotsav.nic.in/subhas-chandra-bose.htm
minister,251028,K. M. Cariappa,Chief of Army | Indian Army Reformer | LWR,"Professional Indian Army officer, staff graduate and later the first Indian Commander-in-Chief.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2213933&lang=1&reg=1
minister,251029,Ram Dass Katari,Chief of Navy | Indian Ocean Fleet Architect | LWR,Early Indian naval officer and later the first Indian Chief of the Naval Staff.,Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.indiannavy.nic.in/content/admiral-ram-dass-katari
minister,251030,Subroto Mukerjee,Chief of Air Force | Indian Air Institution Builder | LWR,"Foundational Indian air officer who helped build training, administration and an independent air institution.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2217026&lang=1&reg=6
minister,251040,Rajendra Prasad,Head of State | Indian Constituent President | PA,"Congress president, constitutional leader and later first President of India.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://presidentofindia.nic.in/dr-rajendra-prasad-served-profile
minister,251031,Subhas Chandra Bose,Head of Government | National Mobilization Director | PA,"Militant anti-colonial leader, organizer of the Indian National Army and advocate of total national mobilization.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://amritmahotsav.nic.in/subhas-chandra-bose.htm
minister,251032,V. K. Krishna Menon,Foreign Minister | Anti-Colonial Diplomat | PA,Anti-colonial publicist and diplomat associated with assertive international advocacy and non-alignment.,Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.britannica.com/biography/V-K-Krishna-Menon
minister,251033,Vallabhbhai Patel,Minister of Armament | Patelian National Organizer | PA,"Congress organizer, administrator and the historical architect of princely-state integration.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1872132
minister,251034,B. R. Ambedkar,Minister of Security | Ambedkarite Social Justice | PA,"Jurist, labour advocate and principal constitutional champion of equal citizenship and social justice.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.mea.gov.in/Images/attach/amb/Volume_01.pdf
minister,251035,Subhas Chandra Bose,Head of Military Intelligence | Revolutionary Intelligence Network | PA,"Militant anti-colonial leader, organizer of the Indian National Army and advocate of total national mobilization.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://amritmahotsav.nic.in/subhas-chandra-bose.htm
minister,251036,K. M. Cariappa,Chief of Staff | Professional General Staff | PA,"Professional Indian Army officer, staff graduate and later the first Indian Commander-in-Chief.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2213933&lang=1&reg=1
minister,251037,K. M. Cariappa,Chief of Army | Indian Army Reformer | PA,"Professional Indian Army officer, staff graduate and later the first Indian Commander-in-Chief.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2213933&lang=1&reg=1
minister,251038,Ram Dass Katari,Chief of Navy | Indian Ocean Fleet Architect | PA,Early Indian naval officer and later the first Indian Chief of the Naval Staff.,Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.indiannavy.nic.in/content/admiral-ram-dass-katari
minister,251039,Subroto Mukerjee,Chief of Air Force | Indian Air Institution Builder | PA,"Foundational Indian air officer who helped build training, administration and an independent air institution.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2217026&lang=1&reg=6
minister,251041,Mahatma Mohandas Gandhi,Head of State | Gandhian Moral Authority | SD,"Mass nationalist leader whose political authority rested on nonviolence, moral legitimacy and social mobilization.",Cabinet service is advanced to the 1933 Lahore Accord state; the custom trait turns the person's documented political strengths into a balanced gameplay effect.,https://www.gandhiheritageportal.org/
leader,251001,Rajendrasinhji Jadeja,"land | max skill 7 | Logistics Wizard, Offensive Doctrine, Panzer Leader | available 1933",2nd Lancers cavalry officer; won the DSO in North Africa after leading an armoured charge at Mechili.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/army/personnel/chiefs/shri-rajendrasinhji/
