asset,kind,person,article,commons_file,description_url,license,license_url,artist,credit,provenance
INDM_RAJENDRA,minister,Rajendra Prasad,https://en.wikipedia.org/wiki/Rajendra_Prasad,"File:Rajendra_Prasad_(Indian_President),_signed_image_for_Walter_Nash_(NZ_Prime_Minister),_1958_(16017609534).jpg","https://commons.wikimedia.org/wiki/File:Rajendra_Prasad_(Indian_President),_signed_image_for_Walter_Nash_(NZ_Prime_Minister),_1958_(16017609534).jpg",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Archives New Zealand,"Archives New Zealand, Rajendra Prasad (Indian President), signed image for Walter Nash (NZ Prime Minister), 1958, CC BY-SA 2.0; cropped, grayscaled and resized for the mod.",historical photograph
INDM_NEHRU,minister,Jawaharlal Nehru,https://en.wikipedia.org/wiki/Jawaharlal_Nehru,"File:Nehru_in_the_Netherlands,_1957.jpg","https://commons.wikimedia.org/wiki/File:Nehru_in_the_Netherlands,_1957.jpg",CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Harry Pot,"Harry Pot / Nationaal Archief, Nehru in the Netherlands, 1957, CC0; cropped, grayscaled and resized for the mod.",historical photograph
INDM_PATEL,minister,Vallabhbhai Patel,https://en.wikipedia.org/wiki/Vallabhbhai_Patel,File:Sardar_patel_(cropped).jpg,https://commons.wikimedia.org/wiki/File:Sardar_patel_(cropped).jpg,Public domain,,Government of India work,http://photodivision.gov.in/waterMarkdetails.asp?id=11604.jpg,historical photograph
INDM_AMBEDKAR,minister,B. R. Ambedkar,https://en.wikipedia.org/wiki/B._R._Ambedkar,File:Dr._Bhimrao_Ambedkar.jpg,https://commons.wikimedia.org/wiki/File:Dr._Bhimrao_Ambedkar.jpg,Public domain,,Unknown author Unknown author,http://anithawnp.webnode.com/indian-heroes/dr-b-r-ambedkar/ [ dead link ] ( read on archive.org ),historical photograph
INDM_KIDWAI,minister,Rafi Ahmed Kidwai,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDM_CARIAPPA,minister,K. M. Cariappa,https://en.wikipedia.org/wiki/Kodandera_Madappa_Cariappa,File:General_K._M._Cariappa.jpg,https://commons.wikimedia.org/wiki/File:General_K._M._Cariappa.jpg,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Army,https://indianarmy.nic.in/Site/FormTemplete/frmTemp1PTC2C.aspx?MnId=+8mseCR68RvTEPt0QQqxuw==&ParentID=Q84SYrxYoif+suj7VKaNRw==,historical photograph
INDM_KATARI,minister,Ram Dass Katari,https://en.wikipedia.org/wiki/Ram_Dass_Katari,Packaged Darkest Hour portrait M59019,https://commons.wikimedia.org/wiki/File:Admiral_RD_Katari.jpg,packaged game asset,,,Darkest Hour base portrait; historical identity cross-checked against Indian Navy records,historical photograph
INDM_MUKERJEE,minister,Subroto Mukerjee,https://en.wikipedia.org/wiki/Subroto_Mukerjee,File:SubrotoMukherjee.jpg,https://commons.wikimedia.org/wiki/File:SubrotoMukherjee.jpg,Public domain,,Solomon,http://solomondomain.blogspot.in/2008/10/great-indian-aviator-subroto-mukerjee.html,historical photograph
INDM_RAJAGOPALACHARI,minister,C. Rajagopalachari,https://en.wikipedia.org/wiki/C._Rajagopalachari,File:Chakravarthi_Rajagopalachari.jpg,https://commons.wikimedia.org/wiki/File:Chakravarthi_Rajagopalachari.jpg,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,"India Post, Government of India",[1] [2],historical photograph
INDM_VISVESVARAYA,minister,M. Visvesvaraya,https://en.wikipedia.org/wiki/M._Visvesvaraya,File:Vishveshvarayya_in_his_30's.jpg,https://commons.wikimedia.org/wiki/File:Vishveshvarayya_in_his_30%27s.jpg,Public domain,,Unknown author Unknown author,http://indiannerve.com/this-day-in-history-april-14-6734/visvesvaraya/,historical photograph
