path,kind,family,source,provenance,sha256
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-FIRE D-E.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,15668ac85d66095706ab038138c643a558828e7a5c0488179195bc7224334c73
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-FIRE D-N.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,554f03c857680fee31486e29cb82fe000cbd8f8a723a11bfffee8f81f1932d2d
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-FIRE D-NE.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,7c9969eeb9b8e11677cd545733d61214ed60e1afd58365033f01ea001173de0d
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-FIRE D-NW.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,35e3dc01e61fb6c84c679f05e61ef019909d4793399fb15b76986c06943d801f
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-FIRE D-S.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,6e94459ce48723ddb1e10d73a69b7acf027c6d16a79189f1c6ba7040e97388a3
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-FIRE D-SE.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,3a6d91b26e95f02adc3dd3caa63689949976e8240c5ec0a8a24cc7d90254f08f
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-FIRE D-SW.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,5b68d09ead6fa9ca017acd5c1f8780cda94d682b16c3b4b8201942b3cfdb87b2
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-FIRE D-W.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,90da94c6d72c2eec10add23c229bdc72be4103326a2a1ae6c8ba2aae3fbb2fde
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-STAND.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,4b40eda9cd48acf66874614a59f3273ce1f062cae9eade938f65d590ba8622fa
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-WALK D-E.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,691e2b5366cebc9d65172f56fe76d7839052fe1a411ccdfc1add32d418a7d167
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-WALK D-N.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,56181513666e6df1629b5d88dc7826dce501476ee442b270c2d0db41026973cf
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-WALK D-NE.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,8c41398ecb85b2ec2e61380feac0c634dedcbff991dbef8ae7ddd4301ad1f402
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-WALK D-NW.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,c3c3e4edf270caa2a0baf772d72a5dd8db07d8fe26cf9c06465e4d134f765683
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-WALK D-S.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,e5e7660b7c72760b7319f0e500ecfa45a21203095fc85c881b80cace2d3eab6f
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-WALK D-SE.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,d61f8050151fc36e654e49a6514cf458afb0139dfb735eb479d1e0c1dc11e22e
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-WALK D-SW.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,686653d5439ca06a5b9718afc7017a7fcc468e61a2c83d777e42fb29a90bd4ef
mod/gfx/map/units/bmp/AUBM-IND-ARMOR A-WALK D-W.bmp,bmp,armor,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=4,generated original India service sprite; not derived from another mod,3964f024bdc0cd475494282bb4cdd518e6fdb0eb6a2f2996b1dacdfd722b7987
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-FIRE D-E.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,9fac8382cf9904adbe3c337c7b149961e39df19d02f02a35039919583f039314
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-FIRE D-N.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,01531ecd168524e092a02121e69338394f0ce06304d194313ec3afd39f02b536
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-FIRE D-NE.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,df1c7a2adbc24e49d8adec2003993e7de2040689e8952e99e70a8d1e48d41a37
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-FIRE D-NW.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,724eef736c20ff51c9bb1c22643ef4897cb8f7143fbca78d3b552201193a89fa
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-FIRE D-S.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,67344ce2739af05d6de7f4d3fc20f148beb0d3fdfc669751b6d765c39fd1af5a
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-FIRE D-SE.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,0f0886feb8bfe13a9886200bf247d1bb527759667ee640c468b333d63549d72d
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-FIRE D-SW.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,cb66e1052d041bdca307e7e731f2366f124e3c0fbb91ed9349dc2b509bd5da4c
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-FIRE D-W.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,babf64591f8312ffa51946416070a764d3444e000cbc9a51b1e5def8a82dac0e
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-STAND.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,ed8d4615008709c145f5bdf4a396e03b1bd18fa9662c53f64af7259d93f0f682
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-WALK D-E.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,6dcb8fb6012ebbbbed15e89c245cc81a60650eff14ef6aaf37607fccc243ab1e
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-WALK D-N.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,6a9f2086e58e7130aad54c2e05a28543fa3f217ff2d40d09aa0612bc064f6cce
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-WALK D-NE.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,82028661e723a0dad4806af841f22f19cd8ee8512f7dee51f14b241de0967b60
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-WALK D-NW.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,5371d875eef5b2c1075061772318e89adc7eac7576c4cef0f1edf03da4d8529d
