# AUBM SPECIAL UNIT MODEL LOCALIZATION;;;;;;;;;;;X
MODEL_33_1;1942 Reorganised Gurkha Rifles;;;;;;;;;;X
MODEL_33_2;1945 Integrated Gurkha Rifles;;;;;;;;;;X
MODEL_33_3;1951 Gurkha Brigade Group;;;;;;;;;;X
MODEL_33_4;1959 Modern Gurkha Rifles;;;;;;;;;;X
MODEL_34_1;1942 Frontier Mobile Group;;;;;;;;;;X
MODEL_34_2;1945 Frontier Brigade Group;;;;;;;;;;X
MODEL_34_3;1951 Frontier Surveillance Group;;;;;;;;;;X
MODEL_34_4;1959 Modern Frontier Rifles;;;;;;;;;;X
MODEL_35_1;1942 Air-Supplied Penetration Group;;;;;;;;;;X
MODEL_35_2;1945 Integrated Long-Range Group;;;;;;;;;;X
MODEL_35_3;1951 Air-Mobile Penetration Group;;;;;;;;;;X
MODEL_35_4;1959 Modern Penetration Division;;;;;;;;;;X
MODEL_36_1;1941 Airborne Brigade Group;;;;;;;;;;X
MODEL_36_2;1944 Integrated Airborne Division;;;;;;;;;;X
MODEL_36_3;1950 Air-Mobile Division;;;;;;;;;;X
MODEL_36_4;1957 Modern Airborne Division;;;;;;;;;;X
MODEL_37_1;1940 Coromandel Landing Group;;;;;;;;;;X
MODEL_37_2;1943 Fleet Marine Division;;;;;;;;;;X
MODEL_37_3;1949 Amphibious Brigade Group;;;;;;;;;;X
MODEL_37_4;1957 Modern Coromandel Marines;;;;;;;;;;X
MODEL_38_1;1941 Guards Armoured Division;;;;;;;;;;X
MODEL_38_2;1943 Guards Armoured Division;;;;;;;;;;X
MODEL_38_3;1945 Guards Armoured Division;;;;;;;;;;X
MODEL_38_4;1952 Guards Main Battle Group;;;;;;;;;;X
MODEL_38_5;1962 Modern Guards Armoured Division;;;;;;;;;;X
MODEL_39_1;1939 Guards Mobile Division;;;;;;;;;;X
MODEL_39_2;1942 Guards Mobile Division;;;;;;;;;;X
MODEL_39_3;1945 Guards Mobile Division;;;;;;;;;;X
MODEL_39_4;1952 Guards Mechanised Reserve;;;;;;;;;;X
MODEL_39_5;1960 Modern Guards Mobile Division;;;;;;;;;;X
MODEL_40_1;1939 Mechanised Pioneer Group;;;;;;;;;;X
MODEL_40_2;1945 Assault Pioneer Division;;;;;;;;;;X
MODEL_40_3;1952 Combat Engineering Division;;;;;;;;;;X
MODEL_40_4;1960 Modern Pioneer Division;;;;;;;;;;X
