Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'Freedom came early. Unity came at a price.';A Union Before Midnight;;;;;;;;;;;;;;
'A union is not inherited. It is built, argued over, and defended.';Federal Convention, Delhi 1933;;;;;;;;;;;;;;
'The monsoon binds the ports, the rails bind the provinces, and policy must bind the nation.';Planning Commission memorandum;;;;;;;;;;;;;;
'An army for a continent must learn to move before it learns to strike.';Indian General Staff note;;;;;;;;;;;;;;
'The Indian Ocean is not a moat. It is the road by which every great power reaches Asia.';Naval Staff memorandum;;;;;;;;;;;;;;
'Industry is strategy measured in steel, power, and time.';Union planning memorandum;;;;;;;;;;;;;;
'The frontier is quiet only until another capital decides that it should not be.';External Affairs briefing;;;;;;;;;;;;;;
'Neutrality without strength is merely a request.';Strategic Council memorandum;;;;;;;;;;;;;;
'Every alliance offers security, and every alliance presents a bill.';Cabinet briefing;;;;;;;;;;;;;;
'A budget is the first battlefield on which strategy is tested.';Union Finance Conference;;;;;;;;;;;;;;
'The world war may begin elsewhere, but Asia will decide how India remembers it.';Defence Committee forecast;;;;;;;;;;;;;;
'Before midnight, a continent chose to remain whole.';A Union Before Midnight;;;;;;;;;;;;;;
