#######################;;;;;;;;;;;X
# muster; -1- ; -2- ; -3- ; -4- ; -5- ; -6- ;; -8- ;;;X
#######################;;;;;;;;;;;X
# Majors;;;;;;;;;;;X
# England;;;;;;;;;;;X
# England land brigades;;;;;;;;;;;X
BRIG_MODEL_ENG_1_0;Ordnance BL 15pdr;Ordnance BL 15pdr;Ordnance BL 15pdr;Artillería BL 15pdr;Ordnance BL 15pdr;Ordnance BL 15pdr;;Ordnance BL 15pdr;;;X
BRIG_MODEL_ENG_1_1;Ordnance QF 4.5inch;Ordnance QF 4.5inch;Ordnance QF 4.5inch;Artillería QF 4.5inch;Ordnance QF 4.5inch;Ordnance QF 4.5inch;;Ordnance QF 4.5inch;;;X
BRIG_MODEL_ENG_1_2;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;;BL 6inch Mk. VII;;;X
BRIG_MODEL_ENG_1_3;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;;BL 8inch Mk. VI ;;;X
BRIG_MODEL_ENG_1_4;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;;BL 6inch Mk. XIX;;;X
BRIG_MODEL_ENG_1_5;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Artillería QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;;Ordnance QF 18pdr Mk II;;;X
BRIG_MODEL_ENG_1_6;;;;;;;;;;;X
BRIG_MODEL_ENG_1_7;;;;;;;;;;;X
BRIG_MODEL_ENG_1_8;Ordnance QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;Artillería QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;;Ordnance QF 18pdr Mk IV;;;X
BRIG_MODEL_ENG_1_9;Ordnance QF 25pdr;Ordnance QF 25pdr;Ordnance QF 25pdr;Artillería QF 25pdr;Ordnance QF 25pdr;Ordnance QF 25pdr;;Ordnance QF 25pdr;;;X
BRIG_MODEL_ENG_1_10;BL 4,5inch;BL 4,5inch;BL 4,5inch;BL 4,5inch;BL 4,5inch;BL 4,5inch;;BL 4,5inch;;;X
BRIG_MODEL_ENG_1_11;155mm Howitzer;155mm Howitzer;155mm Howitzer;155mm Howitzer;155mm Howitzer;155mm Howitzer;;155mm Howitzer;;;X
BRIG_MODEL_ENG_1_12;;;;;;;;;;;X
BRIG_MODEL_ENG_1_13;;;;;;;;;;;X
BRIG_MODEL_ENG_2_0;Birch;Birch;Birch;Birch;Birch;Birch;;Birch;;;X
BRIG_MODEL_ENG_2_1;Bishop;Bishop;Bishop;Obispo;Bishop;Bishop;;Bishop;;;X
BRIG_MODEL_ENG_2_2;M7 Priest;M7 Priest;M7 Priest;M7 Priest;M7 Priest;M7 Priest;;M7 Priest;;;X
BRIG_MODEL_ENG_2_3;25pdr SP. Sexton;25pdr SP. Sexton;25pdr SP. Sexton;Sacristán;25pdr SP. Sexton;25pdr SP. Sexton;;25pdr SP. Sexton;;;X
BRIG_MODEL_ENG_2_4;M40 GMC;M40 GMC;M40 GMC;M40 GMC;M40 GMC;M40 GMC;;M40 GMC;;;X
BRIG_MODEL_ENG_2_5;;;;;;;;;;;X
BRIG_MODEL_ENG_2_6;;;;;;;;;;;X
BRIG_MODEL_ENG_2_7;M107 GMC;M107 GMC;M107 GMC;M107 GMC;M107 GMC;M107 GMC;;M107 GMC;;;X
BRIG_MODEL_ENG_6_0;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;2Pdr.Portee;;2Pdr.Portee;;;X
BRIG_MODEL_ENG_6_1;Archilles Mk. IC;Archilles Mk. IC;Archilles Mk. IC;Archilles Mk. IC;Archilles Mk. IC;Archilles Mk. IC;;Archilles Mk. IC;;;X
BRIG_MODEL_ENG_6_2;Sherman Firefly;Sherman Firefly;Sherman Firefly;Sherman Firefly;Sherman Firefly;Sherman Firefly;;Sherman Firefly;;;X
BRIG_MODEL_ENG_6_3;17pdr Archer;17pdr Archer;17pdr Archer;17pdr Archer;17pdr Archer;17pdr Archer;;17pdr Archer;;;X
BRIG_MODEL_ENG_6_4;A39 Tortoise;A39 Tortoise;A39 Tortoise;A39 Tortoise;A39 Tortoise;A39 Tortoise;;A39 Tortoise;;;X
BRIG_MODEL_ENG_6_5;FV4101 Charioteer;FV4101 Charioteer;FV4101 Charioteer;FV4101 Charioteer;FV4101 Charioteer;FV4101 Charioteer;;FV4101 Charioteer;;;X
BRIG_MODEL_ENG_6_6;;;;;;;;;;;X
BRIG_MODEL_ENG_6_7;FV4401 Contentious;FV4401 Contentious;FV4401 Contentious;FV4401 Contentious;FV4401 Contentious;FV4401 Contentious;;FV4401 Contentious;;;X
BRIG_MODEL_ENG_7_0;Mark A Whippet;Mark A Whippet;Mark A Whippet;Mark A Whippet;Mark A Whippet;Mark A Whippet;;Mark A Whippet;;;X
BRIG_MODEL_ENG_7_1;Mark C Hornet;Mark C Hornet;Mark C Hornet;Mark C Hornet;Mark C Hornet;Mark C Hornet;;Mark C Hornet;;;X
BRIG_MODEL_ENG_7_2;Vickers L-A Mk I;Vickers L-A Mk I;Vickers L-A Mk I;Vickers L-A Mk I;Vickers L-A Mk I;Vickers L-A Mk I;;Vickers L-A Mk I;;;X
BRIG_MODEL_ENG_7_3;Vickers L-A Mk II;Vickers Mk II;Vickers Mk II;Vickers Mk II;Vickers Mk II;Vickers Mk II;;Vickers Mk II;;;X
BRIG_MODEL_ENG_7_4;Vickers L-A Mk III;Vickers Mk III;Vickers Mk III;Vickers Mk III;Vickers Mk III;Vickers Mk III;;Vickers Mk III;;;X
BRIG_MODEL_ENG_7_5;Vickers L-A Mk VI;Vickers Mk VI;Vickers Mk VI;Vickers Mk VI;Vickers Mk VI;Vickers Mk VI;;Vickers Mk VI;;;X
BRIG_MODEL_ENG_7_6;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;Mk. I A9 Cruiser;;Mk. I A9 Cruiser;;;X
BRIG_MODEL_ENG_7_7;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;Mk. II A10 Cruiser;;Mk. II A10 Cruiser;;;X
BRIG_MODEL_ENG_7_8;M5 Honey;M5 Honey;M5 Honey;M5 Honey;M5 Honey;M5 Honey;;M5 Honey;;;X
BRIG_MODEL_ENG_8_0;Mark IV;Mark IV;Mark IV;Mark IV;Mark IV;Mark IV;;Mark IV;;;X
BRIG_MODEL_ENG_8_1;Matilda Mk. II;Matilda Mk. II;Matilda Mk. II;Matilda Mk. II;Matilda Mk. II;Matilda Mk. II;;Matilda Mk. II;;;X
BRIG_MODEL_ENG_8_2;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;Mk. III Valentine;;;X
BRIG_MODEL_ENG_8_3;Churchill Mk. III;Churchill Mk. III;Churchill Mk. III;Churchill Mk. III;Churchill Mk. III;Churchill Mk. III;;Churchill Mk. III;;;X
BRIG_MODEL_ENG_8_4;Churchill Mk. VII;Churchill Mk. VII;Churchill Mk. VII;Churchill Mk. VII;Churchill Mk. VII;Churchill Mk. VII;;Churchill Mk. VII;;;X
BRIG_MODEL_ENG_8_5;FV214 Conqueror;FV214 Conqueror;FV214 Conqueror;FV214 Conqueror;FV214 Conqueror;FV214 Conqueror;;FV214 Conqueror;;;X
BRIG_MODEL_ENG_9_0;Mark I;Mark I;Mark I;Mark I;Mark I;Mark I;;Mark I;;;X
BRIG_MODEL_ENG_9_1;A43 Black Prince;A43 Black Prince;A43 Black Prince;A43 Black Prince;A43 Black Prince;A43 Black Prince;;A43 Black Prince;;;X
BRIG_MODEL_ENG_10_0;Motor War Car;Motor War Car;Motor War Car;Motor War Car;Motor War Car;Motor War Car;;Motor War Car;;;X
BRIG_MODEL_ENG_10_1;Rolls-Royce Armoured Car;Rolls-Royce Armoured Car;Rolls-Royce Armoured Car;Rolls-Royce Armoured Car;Rolls-Royce Armoured Car;Rolls-Royce Armoured Car;;Rolls-Royce Armoured Car;;;X
BRIG_MODEL_ENG_10_2;Lanchester 6x4 Armoured Car;Lanchester 6x4 Armoured Car;Lanchester 6x4 Armoured Car;Lanchester 6x4 Armoured Car;Lanchester 6x4 Armoured Car;Lanchester 6x4 Armoured Car;;Lanchester 6x4 Armoured Car;;;X
BRIG_MODEL_ENG_10_3;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;Carden-Loyd Mk.VI;;Carden-Loyd Mk.VI;;;X
BRIG_MODEL_ENG_10_5;Humber Scout Car;Humber Scout Car;Humber Scout Car;Humber Scout Car;Humber Scout Car;Humber Scout Car;;Humber Scout Car;;;X
BRIG_MODEL_ENG_10_6;AEC Armoured Car Mk. III;AEC Armoured Car Mk. III;AEC Armoured Car Mk. III;AEC Armoured Car Mk. III;AEC Armoured Car Mk. III;AEC Armoured Car Mk. III;;AEC Armoured Car Mk. III;;;X
BRIG_MODEL_ENG_10_7;Ferret armoured car;Ferret armoured car;Ferret armoured car;Ferret armoured car;Ferret armoured car;Wóz pancerny Ferret;;Ferret armoured car;;;X
BRIG_MODEL_ENG_10_8;FV601 Saladin;FV601 Saladin;FV601 Saladin;FV601 Saladin;FV601 Saladin;FV601 Saladin;;FV601 Saladin;;;X
BRIG_MODEL_ENG_29_0;Vickers Medium Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;Vickers Mk. I;;Vickers Mk. I;;;X
BRIG_MODEL_ENG_29_1;Vickers Medium Mk. II;Vickers Medium Mk. II;Vickers Medium Mk. II;Vickers Medium Mk. II;Vickers Medium Mk. II;Vickers Medium Mk. II;;Vickers Medium Mk. II;;;X
BRIG_MODEL_ENG_29_2;Vickers Medium Mk. III;Vickers Medium Mk. III;Vickers Medium Mk. III;Vickers Medium Mk. III;Vickers Medium Mk. III;Vickers Medium Mk. III;;Vickers Medium Mk. III;;;X
BRIG_MODEL_ENG_29_3;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;Mk. IV A13 Cruiser;;Mk. IV A13 Cruiser;;;X
BRIG_MODEL_ENG_29_4;Mk. VI A15 Crusader;Mk. VI A15 Crusader;Mk. VI A15 Crusader;Mk. VI A15 Crusader;Mk. VI A15 Crusader;Mk. VI A15 Crusader;;Mk. VI A15 Crusader;;;X
BRIG_MODEL_ENG_29_5;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;Mk. VIII A23M Cromwell;;Mk. VIII A23M Cromwell;;;X
BRIG_MODEL_ENG_29_6;A34 Comet;A34 Comet;A34 Comet;A34 Comet;A34 Comet;A34 Comet;;A34 Comet;;;X
BRIG_MODEL_ENG_29_7;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;FV4007 Centurion Mk. III;;FV4007 Centurion Mk. III;;;X
BRIG_MODEL_ENG_29_8;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;FV4011 Centurion Mk. V;;FV4011 Centurion Mk. V;;;X
BRIG_MODEL_ENG_29_9;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;FV4015 Centurion Mk. X;;FV4015 Centurion Mk. X;;;X
BRIG_MODEL_ENG_29_10;FV4201 Chieftain;FV4201 Chieftain;FV4201 Chieftain;FV4201 Chieftain;FV4201 Chieftain;FV4201 Chieftain;;FV4201 Chieftain;;;X
BRIG_MODEL_ENG_32_0;Valentine DD;Valentine DD;Valentine DD;Valentine DD;Valentine DD;Valentine DD;;Valentine DD;;;X
BRIG_MODEL_ENG_32_1;DD Sherman;DD Sherman;DD Sherman;DD Sherman;DD Sherman;DD Sherman;;DD Sherman;;;X
BRIG_MODEL_ENG_33_0;Mk VII Tetrarch;Mk VII Tetrarch;Mk VII Tetrarch;Mk VII Tetrarch;Mk VII Tetrarch;Mk VII Tetrarch;;Mk VII Tetrarch;;;X
BRIG_MODEL_ENG_33_1;Mk VIII Harry Hopkins;Mk VIII Harry Hopkins;Mk VIII Harry Hopkins;Mk VIII Harry Hopkins;Mk VIII Harry Hopkins;Mk VIII Harry Hopkins;;Mk VIII Harry Hopkinst;;;X
BRIG_MODEL_ENG_34_0;;;;;;;;;;;X
BRIG_MODEL_ENG_34_1;;;;;;;;;;;X
BRIG_MODEL_ENG_34_2;;;;;;;;;;;X
BRIG_MODEL_ENG_34_3;;;;;;;;;;;X
BRIG_MODEL_ENG_34_4;;;;;;;;;;;X
BRIG_MODEL_ENG_35_0;BL 9.2 inch howitzer;BL 9.2 inch howitzer;BL 9.2 inch howitzer;BL 9.2 inch howitzer;BL 9.2 inch howitzer;BL 9.2 inch howitzer;;BL 9.2 inch howitzer;;;X
BRIG_MODEL_ENG_35_1;BL 12 inch howitzer;BL 12 inch howitzer;BL 12 inch howitzer;BL 12 inch howitzer;BL 12 inch howitzer;BL 12 inch howitzer;;BL 12 inch howitzer;;;X
BRIG_MODEL_ENG_35_2;BL 14 inch railway gun;BL 14 inch railway gun;BL 14 inch railway gun;BL 14 inch railway gun;BL 14 inch railway gun;BL 14 inch railway gun;;BL 14 inch railway gun;;;X
BRIG_MODEL_ENG_35_3;BL 18 inch railway howitzer;BL 18 inch railway howitzer;BL 18 inch railway howitzer;BL 18 inch railway howitzer;BL 18 inch railway howitzer;BL 18 inch railway howitzer;;BL 18 inch railway howitzer;;;X
BRIG_MODEL_ENG_35_4;;;;;;;;;;;X
BRIG_MODEL_ENG_35_5;;;;;;;;;;;X
# England air brigades;;;;;;;;;;;X
BRIG_MODEL_ENG_14_0;Fairey III;Fairey III;Fairey III;Fairey III;Fairey III;Fairey III;Fairey III;Fairey III;;;X
BRIG_MODEL_ENG_14_1;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;Seal/Ripon/Nimrod;;;X
BRIG_MODEL_ENG_14_2;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;Shark/Baffin/Sea Gladiator;;;X
BRIG_MODEL_ENG_14_3;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;Skua/Swordfish/Roc;;;X
BRIG_MODEL_ENG_14_4;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;Skua/Albacore/Fulmar;;;X
BRIG_MODEL_ENG_14_5;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;Barracuda/Firefly;;;X
BRIG_MODEL_ENG_14_6;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;Sea Hornet/Wyvern/Sea Fury;;;X
BRIG_MODEL_ENG_14_7;Sea Hawk/Attacker;Sea Hawk/Attacker;Sea Hawk/Attacker;Sea Hawk/Attacker;Sea Hawk/Attacker;Sea Hawk/Attacker;;Sea Hawk/Attacker;;;X
BRIG_MODEL_ENG_14_8;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;Sea Venom/Scimitar;;;X
