country;main color;leader language;Army Nationality Sprite;Model Nationality Picture ;Model Nationality Icon;Model Nationality Name;END
AFG;LightGray;ENG;ENG;;AFG;;X
ALB;DarkBrown;ENG;ITA;;ALB;;X
ALG;LightYellow;FRA;FRA;FRA;ALG;;X
ANG;UserColor4;POR;ENG;;ANG;;X
ARA;UserColor3;TUR;ENG;;;;X
ARG;LightBlue;SPA;GER;ARG;ARG;;X
ARM;Brown;SOV;SOV;SOV;;;X
AST;LightGray;AST;AST;AST;AST;;X
AUS;Brown;AUS;GER;GER;AUS;;X
AZB;DarkOrange;SOV;SOV;SOV;;;X
BEL;Yellow;BEL;FRA;FRA;BEL;;X
BEN;DarkBlue;ENG;ENG;;;;X
BHU;UserColor3;ENG;ENG;;;;X
BLR;UserColor6;SOV;SOV;SOV;BLR;;X
BOL;LightGray;SPA;USA;USA;BOL;;X
BOS;UserColor5;YUG;FRA;FRA;;;X
BRA;LightGreen;POR;USA;BRA;BRA;;X
BRU;White;ENG;ENG;;;;X
BUL;LightBrown;BUL;GER;GER;BUL;;X
BUR;LightYellow;ENG;U02;;;;X
CAL;Green;USA;USA;USA;CAL;;X
CAM;Brown;FRA;FRA;FRA;;;X
CAN;LightGray;ENG;ENG;CAN;CAN;;X
CGX;Blue;CHI;MIN;CHI;CGX;;X
CHC;UserColor6;CHI;SOV;;CHC;;X
CHI;LightBrown;CHI;MIN;CHI;CHI;;X
CHL;DarkGreen;SPA;GER;GER;CHL;;X
CMB;UserColor1;ENG;MIN;;;;X
COL;DarkYellow;SPA;USA;USA;COL;;X
CON;Yellow;ENG;FRA;FRA;;;X
COS;LightBrown;SPA;USA;USA;;;X
CRO;DarkGray;YUG;GER;GER;CRO;;X
CSA;UserColor5;USA;USA;USA;;;X
CSX;Green;CHI;MIN;CHI;CSX;;X
CUB;UserColor6;CUB;USA;USA;CUB;;X
CXB;Brown;CHI;MIN;CHI;CXB;;X
CYN;DarkBrown;CHI;MIN;CHI;CYN;;X
CYP;Yellow;ENG;ENG;;;;X
CZE;UserColor3;ENG;MIN;;CZE;;X
DDR;UserColor6;GER;GER;DDR;DDR;;X
DEN;DarkOrange;DEN;MIN;;DEN;;X
DFR;LightOrange;GER;GER;DFR;DFR;;X
DOM;DarkGray;SPA;USA;USA;DOM;;X
EAF;LightGray;ENG;ENG;;;;X
ECU;Yellow;SPA;USA;USA;ECU;;X
EGY;DarkOrange;ENG;ENG;;EGY;;X
ENG;Red;ENG;ENG;ENG;ENG;;X
EQA;DarkBlue;FRA;FRA;FRA;;;X
EST;DarkYellow;EST;GER;GER;EST;;X
ETH;Brown;ENG;USA;USA;ETH;;X
EUS;UserColor6;SPA;FRA;FRA;;;X
FIN;Blue;FIN;GER;FIN;FIN;;X
FLA;Yellow;BEL;GER;GER;FLA;;X
FRA;Blue;FRA;FRA;FRA;FRA;;X
GAB;Red;FRA;FRA;FRA;;;X
GEO;UserColor5;ENG;SOV;SOV;GEO;;X
GER;Gray;GER;GER;GER;GER;;X
GLD;Brown;ENG;ENG;;;;X
GRE;LightBlue;ENG;ENG;;GRE;;X
GUA;LightRed;SPA;USA;USA;GUA;;X
GUI;Green;FRA;FRA;FRA;;;X
GUY;UserColor3;ENG;ENG;;;;X
HAI;UserColor2;ENG;USA;USA;HAI;;X
HOL;LightYellow;HOL;MIN;;HOL;;X
HON;LightGreen;SPA;USA;USA;;;X
HUN;DarkYellow;HUN;GER;HUN;HUN;;X
ICL;LightGray;ENG;MIN;;;;X
IDC;LightBlue;ENG;FRA;FRA;;;X
IND;LightRed;ENG;IND;IND;IND;;X
INO;LightBrown;ENG;MIN;;INO;;X
IRE;LightGreen;IRE;ENG;ENG;IRE;;X
IRQ;DarkBrown;TUR;ENG;;IRQ;;X
ISR;UserColor4;ENG;ENG;;ISR;;X
ITA;Green;ITA;ITA;ITA;ITA;;X
JAP;LightOrange;JAP;JAP;JAP;JAP;;X
JOR;Yellow;ENG;ENG;;;;X
KAZ;DarkBlue;SOV;SOV;SOV;KAZ;;X
KOR;LightGreen;ENG;JAP;JAP;;;X
KUR;UserColor2;TUR;SOV;SOV;;;X
KYG;DarkGreen;SOV;SOV;SOV;;;X
LAO;DarkBrown;ENG;JAP;JAP;;;X
LAT;DarkBrown;LAT;GER;GER;LAT;;X
LBY;UserColor1;ENG;ITA;ITA;;;X
LEB;LightGray;ENG;ENG;;LEB;;X
LIB;LightGray;ENG;USA;USA;;;X
LIT;LightBlue;LIT;GER;GER;LIT;;X
LUX;LightBrown;ENG;MIN;;;;X
MAD;DarkOrange;FRA;FRA;FRA;;;X
MAL;LightOrange;FRA;FRA;FRA;;;X
MAN;DarkGray;CHI;JAP;JAP;MAN;;X
MEN;LightRed;CHI;JAP;JAP;;;X
MEX;DarkGreen;SPA;USA;USA;MEX;;X
MIN;Brown;ENG;MIN;;;;X
MLY;UserColor3;ENG;ENG;;;;X
MON;DarkYellow;CHI;SOV;SOV;MON;;X
MOR;DarkOrange;ENG;FRA;FRA;;;X
MOZ;Red;POR;ENG;;MOZ;;X
MTN;UserColor1;ENG;MIN;;MTN;;X
NAM;UserColor2;ENG;ENG;;NAM;;X
NEP;UserColor3;ENG;ENG;;;;X
NIC;DarkBrown;SPA;USA;USA;NIC;;X
NIG;Red;ENG;ENG;;;;X
NOR;Yellow;NOR;MIN;;NOR;;X
NZL;DarkYellow;NZL;AST;AST;NZL;;X
OMN;LightBrown;ENG;ENG;;OMN;;X
OTT;LightGreen;TUR;TUR;;OTT;;X
PAK;DarkBrown;ENG;U02;;;;X
PAL;LightOrange;ENG;ENG;;;;X
PAN;UserColor4;SPA;USA;USA;;;X
PAR;LightRed;SPA;USA;USA;PAR;;X
PER;DarkGray;ENG;ENG;;PER;;X
PHI;DarkBrown;SPA;USA;USA;;;X
POL;DarkGray;POL;MIN;POL;POL;;X
POR;DarkGreen;POR;ENG;ENG;POR;;X
PRI;UserColor1;SOV;SOV;SOV;;;X
PRK;Brown;CHI;SOV;SOV;;;X
PRU;DarkOrange;SPA;USA;USA;PRU;;X
QUE;UserColor1;FRA;FRA;FRA;;;X
REB;Black;ENG;MIN;;;;X
RHO;Brown;ENG;ENG;;;;X
ROM;DarkOrange;ROM;MIN;ROM;ROM;;X
RSI;LightBrown;ITA;ITA;ITA;RSI;;X
RUS;DarkGreen;SOV;RUS;RUS;RUS;;X
SAF;LightRed;ENG;AST;ENG;SAF;;X
SAL;UserColor3;ENG;USA;USA;SAL;;X
SAR;UserColor5;ENG;MIN;;;;X
SAU;DarkGreen;ENG;ENG;;SAU;;X
SCA;UserColor4;SWE;GER;GER;GER;;X
SCH;DarkOrange;GER;MIN;;SCH;;X
SCO;LightBrown;ENG;ENG;;;;X
SER;Blue;ENG;GER;GER;SER;;X
SIA;LightGreen;ENG;JAP;JAP;SIA;;X
SIB;Green;SOV;SOV;SOV;;;X
SIE;UserColor4;ENG;ENG;;;;X
SIK;UserColor4;CHI;MIN;CHI;SIK;;X
SLO;LightGreen;ENG;ITA;ITA;SLO;;X
SLV;LightBrown;ENG;MIN;;;;X
SOM;UserColor1;ENG;ENG;;;;X
SOV;DarkRed;SOV;SOV;SOV;SOV;;X
SPA;DarkGray;SPA;GER;SPA;SPA;;X
SPR;DarkYellow;SPA;SOV;SPR;SPR;;X
SUD;DarkYellow;ENG;ENG;;;;X
SWE;LightBlue;SWE;MIN;SWE;SWE;;X
SYR;UserColor2;ENG;FRA;FRA;SYR;;X
TAJ;DarkOrange;SOV;SOV;SOV;;;X
TAN;LightRed;CHI;SOV;SOV;TAN;;X
TEX;Yellow;USA;USA;USA;;;X
TIB;White;ENG;ENG;;TIB;;X
TRA;LightOrange;SOV;SOV;SOV;;;X
TRK;DarkBrown;SOV;SOV;SOV;;;X
TUN;Brown;FRA;FRA;FRA;;;X
TUR;LightGreen;TUR;TUR;;TUR;;X
UKR;LightYellow;SOV;SOV;SOV;UKR;;X
URU;DarkGray;SPA;USA;USA;;;X
USA;DarkBlue;USA;USA;USA;USA;;X
UZB;LightGreen;SOV;SOV;SOV;;;X
VEN;LightBrown;SPA;USA;USA;VEN;;X
VIC;Blue;FRA;FRA;FRA;FRA;;X
VIE;Brown;CHI;FRA;FRA;VIE;;X
WLL;LightBrown;FRA;GER;GER;WLL;;X
YEM;LightGray;TUR;ENG;;YEM;;X
YUG;LightYellow;YUG;MIN;;YUG;;X
ALS;DarkBlue;ENG;USA;;;;X
AXI;Gray;GER;GER;GER;GER;;X
ALI;Black;ALI;ALI;;;;X
U00;DarkGray;ENG;MIN;;;;X
U01;LightBlue;FRA;FRA;FRA;U01;;X
U02;DarkYellow;ENG;U02;ENG;U02;;X
U03;UserColor2;FRA;FRA;FRA;U03;;X
U04;UserColor2;FRA;FRA;FRA;;;X
U05;DarkOrange;ENG;MIN;;U05;;X
U06;DarkOrange;ENG;MIN;;;;X
U07;Black;ENG;MIN;;;;X
U08;Gray;GER;GER;U08;U08;;X
U09;LightGray;GER;GER;U09;U09;;X
U10;DarkGreen;HOL;SOV;SOV;;;X
U11;UserColor3;FRA;SOV;SOV;;;X
U12;Blue;ENG;SOV;SOV;;;X
U13;Yellow;HUN;SOV;U13;U13;;X
U14;DarkGray;ITA;SOV;SOV;;;X
U15;LightBrown;POR;SOV;SOV;;;X
U16;DarkBrown;AUS;SOV;SOV;;;X
U17;LightRed;BEL;SOV;SOV;;;X
U18;LightOrange;ENG;SOV;SOV;;;X
U19;LightGreen;NOR;SOV;SOV;U19;;X
U20;UserColor3;FIN;SOV;SOV;U20;;X
U21;DarkGray;SWE;SOV;SOV;;;X
U22;DarkYellow;DEN;SOV;SOV;;;X
U23;UserColor2;ENG;MIN;;;;X
U24;Brown;ENG;MIN;;;;X
U25;LightGray;ENG;MIN;;;;X
U26;Red;GER;SOV;SOV;;;X
U27;LightOrange;YUG;SOV;SOV;U27;;X
U28;UserColor1;ENG;SOV;SOV;;;X
U29;UserColor2;BUL;SOV;SOV;U29;;X
U30;LightGreen;ROM;SOV;SOV;U30;;X
U31;UserColor4;ENG;SOV;SOV;U31;;X
U32;Blue;POL;SOV;SOV;U32;;X
U33;DarkGreen;ENG;SOV;SOV;;;X
U34;UserColor6;TUR;SOV;SOV;;;X
U35;UserColor6;SPA;SOV;SOV;;;X
U36;LightRed;CHI;MIN;CHI;;;X
U37;LightRed;ENG;MIN;;;;X
U38;LightOrange;ENG;MIN;;;;X
U39;Yellow;TUR;FRA;FRA;;;X
U40;UserColor4;ENG;GER;GER;;;X
U41;Green;ENG;GER;GER;U41;;X
U42;DarkYellow;ENG;GER;GER;;;X
U43;LightRed;ENG;GER;GER;U43;;X
U44;Brown;ENG;GER;GER;;;X
U45;DarkBrown;ENG;GER;GER;;;X
U46;UserColor2;ENG;GER;GER;;;X
U47;LightYellow;ENG;GER;GER;;;X
U48;UserColor3;ENG;GER;GER;;;X
U49;DarkGray;ENG;ITA;ITA;;;X
U50;Yellow;ENG;ENG;;;;X
U51;DarkBlue;ENG;ENG;;;;X
U52;DarkOrange;ENG;ENG;;;;X
U53;LightYellow;ENG;ENG;;;;X
U54;DarkRed;ENG;MIN;;;;X
U55;Gray;ENG;MIN;;;;X
U56;Green;ENG;MIN;;;;X
U57;UserColor1;SPA;MIN;;;;X
U58;Yellow;SPA;MIN;;;;X
U59;DarkRed;SPA;MIN;;;;X
U60;LightBlue;ENG;ENG;;;;X
U61;DarkOrange;ENG;MIN;;;;X
U62;DarkBrown;SOV;SOV;SOV;;;X
U63;LightRed;ENG;MIN;;;;X
U64;Brown;ENG;MIN;;;;X
U65;LightGray;ENG;MIN;;;;X
U66;Brown;ENG;MIN;;;;X
U67;DarkGray;CHI;MIN;CHI;;;X
U68;LightBrown;ENG;MIN;;;;X
U69;DarkOrange;ENG;MIN;;;;X
U70;DarkGreen;ENG;ENG;;;;X
U71;LightBlue;ENG;ENG;;;;X
U72;DarkRed;CHI;SOV;SOV;;;X
U73;DarkGray;ENG;ENG;ENG;ENG;;X
U74;DarkOrange;CHI;MIN;CHI;CHI;;X
U75;DarkOrange;ENG;MIN;;;;X
U76;Green;ENG;ENG;;;;X
U77;LightRed;ENG;USA;USA;;;X
U78;LightOrange;ENG;USA;USA;;;X
U79;Yellow;ENG;USA;USA;;;X
U80;Yellow;ENG;U02;;;;X
U81;Gray;FRA;FRA;FRA;;;X
U82;Green;FRA;FRA;FRA;;;X
U83;Orange;ENG;U02;;;;X
U84;White;FRA;FRA;FRA;;;X
U85;UserColor5;FRA;FRA;FRA;;;X
U86;LightBlue;ENG;ENG;;;;X
U87;DarkOrange;ENG;ENG;;;;X
U88;LightOrange;FRA;FRA;FRA;;;X
U89;Green;ENG;ENG;;;;X
U90;LightBrown;ENG;ENG;;;;X
U91;LightGray;TUR;ENG;;;;X
U92;LightGray;ITA;ENG;;;;X
U93;LightGreen;SPA;FRA;FRA;;;X
U94;Orange;FRA;FRA;FRA;;;X
U95;UserColor5;FRA;FRA;FRA;;;X
U96;LightYellow;ENG;ENG;;;;X
U97;UserColor6;ENG;ENG;;;;X
U98;DarkRed;ENG;ENG;;;;X
U99;Yellow;ENG;ENG;;;;X
UA0;Yellow;ENG;ENG;;;;X
UA1;Yellow;ENG;MIN;;;;X
UA2;Yellow;ENG;MIN;;;;X
UA3;Yellow;ENG;MIN;;;;X
UA4;Yellow;ENG;MIN;;;;X
UA5;Yellow;ENG;MIN;;;;X
UA6;Yellow;ENG;MIN;;;;X
UA7;Yellow;ENG;MIN;;;;X
UA8;Yellow;ENG;MIN;;;;X
UA9;Yellow;ENG;MIN;;;;X
UB0;Yellow;ENG;MIN;;;;X
UB1;Yellow;ENG;MIN;;;;X
UB2;Yellow;ENG;MIN;;;;X
UB3;Yellow;ENG;MIN;;;;X
UB4;Yellow;ENG;MIN;;;;X
UB5;Yellow;ENG;MIN;;;;X
UB6;Yellow;ENG;MIN;;;;X
UB7;Yellow;ENG;MIN;;;;X
UB8;Yellow;ENG;MIN;;;;X
UB9;Yellow;ENG;MIN;;;;X
