MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GAR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVE;SUB;NSUB;TRA;CVL;R INT;rsv_33;rsv_34;rsv_35;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;X;Used By
ATT_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;All units
ATT_BLIZZARD;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;-85;-85;-85;-85;-85;-85;-85;-85;X;All units
ATT_SNOW;-40;-40;-40;-40;-40;-40;-40;-40;-30;-40;-40;-40;-50;-50;-50;-50;-50;-50;-50;0;0;-50;-50;-50;-50;-50;-50;-50;-50;-50;0;-50;-50;-30;-30;-30;-40;-40;-40;-40;-40;X;All units
ATT_FROZEN;-25;-25;-25;-50;-50;-40;-25;-25;-15;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-15;-15;-25;-25;-40;-25;-25;X;All units
ATT_RAIN;-20;-20;-20;-20;-20;-20;-20;-10;-20;-20;-20;-20;-30;-30;-30;-30;-30;-30;-30;0;0;-20;-20;-20;-20;-20;-30;-30;-10;-10;0;-30;-30;-20;-20;-20;-20;-10;-20;-20;-20;X;All units
ATT_STORM;-65;-65;-65;-65;-65;-65;-65;-50;-65;-65;-65;-65;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;-65;-65;-65;-65;-50;-65;-65;-65;X;All units
ATT_MUDDY;-20;-65;-65;-65;-65;-65;-15;-15;-15;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-15;-15;-15;-15;-65;-65;-20;X;Land and Air units
ATT_NIGHT;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;0;0;-50;-50;-50;-50;-50;-80;-80;10;10;-50;-80;-90;-90;-90;-90;-90;-90;-90;-90;-90;X;All units
ATT_PLAIN;0;0;0;0;0;0;0;0;0;0;0;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_DESERT;-70;-30;-35;-30;-30;-15;-65;-70;-70;-70;-70;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-70;-70;-70;-65;-70;-15;-35;-70;X;Land and Air units
ATT_MOUNTAIN;-40;-50;-60;-60;-60;-70;-40;-40;-30;-40;-50;-30;-30;-30;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-30;-30;-30;-40;-40;-70;-60;-40;X;Land and Air units
ATT_HILL;-20;-20;-20;-20;-20;-30;-20;-20;-20;-20;-20;-15;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;-20;-20;-20;-20;-20;-30;-20;-20;X;Land and Air units
ATT_FOREST;-25;-35;-30;-35;-35;-40;-25;-25;-25;-25;-30;-15;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;-25;-25;-25;-25;-25;-40;-30;-25;X;Land and Air units
ATT_JUNGLE;-70;-75;-75;-70;-75;-80;-65;-60;-70;-70;-70;-40;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;-70;-70;-70;-65;-60;-80;-75;-70;X;Land and Air units
ATT_SWAMP;-60;-65;-65;-65;-65;-70;-55;-50;-60;-60;-60;-30;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;-60;-60;-60;-55;-50;-70;-65;-60;X;Land and Air units
ATT_URBAN;-30;-30;-30;-30;-30;-35;-30;-30;-30;-30;-30;-15;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;-30;-30;-30;-30;-30;-35;-30;-30;X;Land and Air units
ATT_RIVER;-30;-30;-30;-30;-30;-30;-25;-10;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-30;-30;-25;-10;-30;-30;-30;X;Land units
ATT_SHORE;-60;-80;-80;-80;-80;-80;-40;-20;-40;-80;-80;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-40;-40;-40;-40;-20;-80;-80;-60;X;Land units
ATT_FORT;-30;-40;-40;-40;-40;-40;-20;-20;-20;-20;-20;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;-20;-20;-20;-20;-40;-40;-30;X;Land and Air units
DEF_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;All units
DEF_BLIZZARD;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;-85;-85;-85;-85;-85;-85;-85;-85;X;All units
DEF_SNOW;-40;-40;-40;-40;-40;-25;-40;-40;-30;-40;-40;-40;-50;-50;-50;-50;-50;-50;-50;0;0;-50;-50;-50;-50;-50;-50;-50;-50;-50;0;-50;-50;-30;-30;-30;-40;-40;-25;-40;-40;X;All units
DEF_FROZEN;-25;-25;-25;-50;-50;-50;-25;-25;-15;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-15;-15;-25;-25;-50;-25;-25;X;All units
DEF_RAIN;-20;-20;-20;-20;-20;-20;-20;-10;-20;-20;-20;-20;-30;-30;-30;-30;-30;-30;-30;0;0;-20;-20;-20;-20;-20;-30;-30;-10;-10;0;-30;-30;-20;-20;-20;-20;-10;-20;-20;-20;X;All units
DEF_STORM;-65;-65;-65;-65;-65;-65;-65;-50;-65;-65;-65;-65;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;-65;-65;-65;-65;-50;-65;-65;-65;X;All units
DEF_MUDDY;0;-56;-56;-56;-56;-56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-56;-56;0;X;Land and Air units
DEF_NIGHT;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;0;0;-50;-50;-50;-50;-50;-80;-80;10;10;-50;-80;-90;-90;-90;-90;-90;-90;-90;-90;-90;X;All units
DEF_PLAIN;5;5;5;5;5;5;5;5;5;5;5;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;X;Land units
DEF_DESERT;-65;-25;-30;-22;-18;0;-59;-65;-65;-65;-65;-41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-65;-65;-65;-59;-65;0;-30;-65;X;Land units
DEF_MOUNTAIN;-20;-25;-30;-30;-30;-35;-20;-20;-15;-20;-25;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-15;-15;-20;-20;-35;-30;-20;X;Land units
DEF_HILL;4;4;4;4;-3;-13;4;4;4;4;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;-13;4;4;X;Land units
DEF_FOREST;-7;-12;-9;-12;-12;-14;-7;-7;-7;-7;-9;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7;-7;-7;-7;-7;-14;-9;-7;X;Land units
DEF_JUNGLE;-58;-65;-65;-54;-65;-72;-51;-46;-58;-58;-58;-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-58;-58;-58;-51;-46;-72;-65;-58;X;Land units
DEF_SWAMP;-48;-55;-55;-55;-55;-61;-41;-35;-48;-48;-48;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-48;-48;-48;-41;-35;-61;-55;-48;X;Land units
DEF_URBAN;-2;-2;-2;-2;-6;-16;-2;-2;-2;-2;-2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;-16;-2;-2;X;Land units
MOV_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_BLIZZARD;-90;-90;-85;-80;-75;-75;-90;-90;-85;-90;-90;-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-85;-85;-85;-90;-90;-75;-85;-90;X;Land units
MOV_SNOW;-20;-20;-50;-35;-20;-20;-15;-15;-10;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;-10;-10;-15;-15;-20;-50;-20;X;Land units
