province_id,name,area,region,terrain,infrastructure,beaches,port_allowed,port_seazone,ic,manpower,oil,metal,energy,rare_materials,scenario_owners,ind_owned_1933,ind_controlled_1933,ind_national_1933,source
1278,Sumdo,Xinjiang,China,Mountain,10,0,0,0,0,0,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1406,Haka,North Burma,Indochine,Jungle,10,0,0,0,0,0,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1407,Indaw,North Burma,Indochine,Jungle,30,0,0,0,0,2,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1408,Myitkyina,North Burma,Indochine,Jungle,20,0,0,0,0,0,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1409,Lashio,North Burma,Indochine,Jungle,20,0,0,0,0,1,0,0,0,13,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1410,Mandalay,North Burma,Indochine,Plains,40,0,0,0,0,2,1,0,0,1,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1411,Pakokku,North Burma,Indochine,Jungle,20,0,0,0,0,1,1,0,0,3,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1412,Taunggyi,North Burma,Indochine,Mountain,20,0,0,0,0,1,0,1,0,24,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1413,Kengtung,North Burma,Indochine,Mountain,10,0,0,0,0,0,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1414,Putao,North Burma,Indochine,Jungle,10,0,0,0,0,0,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1415,Rangoon,Burma,Indochine,Plains,50,1,1,2646,0,2,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1416,Moulmein,Burma,Indochine,Hills,30,0,1,2646,0,2,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1417,Pegu,Burma,Indochine,Hills,30,0,0,0,1,2,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1418,Tavoy,Burma,Indochine,Mountain,30,0,1,2647,0,0,0,0,0,4,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1419,Bassein,Burma,Indochine,Plains,20,0,1,2646,0,2,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1420,Akyab,Burma,Indochine,Mountain,10,0,1,2645,0,1,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
1421,Port Blair,Burma,India,Jungle,10,1,1,2644,0,0,0,0,0,0,IND,yes,yes,yes,Darkest Hour Full/map/Map_1/province_names.csv
